,"Expected Return (annual, FF5 AUD-adjusted)"
A200.AX,0.14207892250809134
IEU.AX,0.17859579562072972
IJP.AX,0.16687851567659695
IOO.AX,0.24242441027670766
IVV.AX,0.19675596285595537
MTUM.AX,0.13610148748954967
MVW.AX,0.10540482061491022
QHAL.AX,0.17235076414728376
QLTY.AX,0.14325019003473205
QUAL.AX,0.1585620236747105
SMH,0.46541025704446704
SMLL.AX,0.24910274576041797
SPY,0.2330734174995319
VAS.AX,0.13989182071965628
VDHG.AX,0.16351475917545377
VGE.AX,0.19283054522876705
VGS.AX,0.1915784730375464
VLUE.AX,0.2277138951146569
VMIN.AX,0.12588420783404444
VSO.AX,0.19416027610140368
VVLU.AX,0.20406575625293308
