Target (%),Achieved Return,Volatility (ann.),Sharpe,Method,Note
3.6%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
5.3%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
7.1%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
8.8%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
10.5%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
12.3%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
14.0%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
15.7%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
17.5%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
19.2%,0.20063076938461377,0.03323729038658469,4.95319466387857,Frontier CVXPY (soft tilts),CVXPY success
20.9%,0.20929555961703833,0.03356628486036516,5.162786419109031,Frontier CVXPY (soft tilts),CVXPY success
22.7%,0.2266251155787421,0.0360052331035342,5.294372488315615,Frontier CVXPY (soft tilts),CVXPY success
24.4%,0.24395467154044595,0.04040968942653479,5.146158619172502,Frontier CVXPY (soft tilts),CVXPY success
26.1%,0.26128422750214975,0.047095038827040164,4.783608488561224,Frontier CVXPY (soft tilts),CVXPY success
27.9%,0.2786137834638537,0.05676671265915461,4.273874108592195,Frontier CVXPY (soft tilts),CVXPY success
29.6%,0.2959433394255574,0.06886315224472322,3.774781301061861,Frontier CVXPY (soft tilts),CVXPY success
31.3%,0.3132728953872613,0.08359105975811044,3.317016152081489,Frontier CVXPY (soft tilts),CVXPY success
33.1%,0.33060245134896515,0.10092200989943692,2.9191100300372517,Frontier CVXPY (soft tilts),CVXPY success
34.8%,0.347932007310669,0.12029988627827362,2.592953467878751,Frontier CVXPY (soft tilts),CVXPY success
36.5%,0.36526156327237286,0.14118404497880047,2.3321442824634557,Frontier CVXPY (soft tilts),CVXPY success
